Column,Date,User,Tweet,Tweet Bersih,Sentiment
9539,2022-08-28 01:03:12+00:00,chinta_chintata,"Covid-19 Masih Mengancam, Jaga Prokes dan Segera Vaksinasi Booster

Masyarakat diminta untuk berperan aktif mencegah lonjakan kasus Covid-19 dgn cara memakai masker dan melengkapi diri dengan vaksinasi hingga dosis penguat atau booster.

#PatuhProkesWajibBooster https://t.co/nzEXNOLVWn",covid ancam jaga prokes vaksinasi booster masyarakat peran aktif cegah lonjak covid pakai masker lengkap vaksinasi dosis kuat booster patuhprokeswajibbooster,2
10643,2022-08-22 03:52:51+00:00,halimabas95,"Polri seluruhnya siap mendukung program vaksinasi Covid-19 peranan mewujudkan penduduk yang sehat, ekonomi kuat dan jadi produktif

#WujudkanPemulihanEkonomi

Kawal Investasi Nasional",polri dukung program vaksinasi covid peran wujud duduk sehat ekonomi kuat produktif wujudkanpemulihanekonomi kawal investasi nasional,2
4308,2022-08-26 06:53:44+00:00,05Weru,Di sela2 melaksanaka piket koramil Serda Anang D  Anggota koramil05/Weru bersama anggota polsek weru msh bisa menyempatkan diri melaksanakan patroli PPKM guna menekan penyebaran virus covid 19 di wilayah weru https://t.co/jbAIgAClqi,melaksanaka piket koramil serda anang anggota koramil weru anggota polsek weru msh sempat laksana patroli ppkm tekan sebar virus covid wilayah weru,1
8117,2022-08-16 07:12:59+00:00,Kodim0828,Sarana Sehat Babinsa Sampang di Pasar Tradisional Dalam Vaksinasi https://t.co/IQjQ5EaEBM https://t.co/5FJr9UFvZ1,sarana sehat babinsa sampang pasar tradisional vaksinasi,1
5610,2022-08-08 02:30:00+00:00,angolmalika06,"Vaksinasi covid 19 dosis lengkap ini memiliki banyak manfaat untuk tubuh kita
#ProkesMelindungi
Cegah Covid19 https://t.co/iR1O5G0eyg",vaksinasi covid dosis lengkap milik manfaat tubuh prokesmelindungi cegah covid,2
9102,2022-08-11 00:02:06+00:00,KompasTV,"Kejar Target, Vaksinasi Covid-19 Digelar di Pasar Batuah Banjarbaru https://t.co/7bGuEyK59U https://t.co/3eBpa35uiu",kejar target vaksinasi covid gelar pasar batuah banjarbaru,1
1765,2022-08-02 03:11:42+00:00,Bisniscom,Aturan PPKM Pulau Jawa-Bali Periode 2—15 Agustus 2022 https://t.co/M3rqh4C2TO,atur ppkm pulau jawa bal periode  agustus,1
4840,2022-08-22 13:47:39+00:00,bubngaa,ppkm alias https://t.co/umgrEYTgvm,ppkm alias,1
7191,2022-08-20 04:06:20+00:00,PolsekCilandak9,#BangkitPulihIndonesia Pastikan kamu sudah vaksinasi dosis lengkap yaa untuk mencegah penyebaran Covid-19 dan Sigap Tangani Pandemi https://t.co/wO6VMSg1aP,bangkitpulihindonesia pasti vaksinasi dosis lengkap yaa cegah sebar covid sigap tangan pandemi,2
4119,2022-08-27 16:40:54+00:00,givsellea,@XH_J0OYEON kan u ppkm juy jdi hobinya ngelem😭,ppkm juy jdi hobi ngelem,1
10100,2022-08-24 23:29:37+00:00,PMIKabTegal,"Kab. Tegal - Jateng I Rabu (24/8)

Giat  Vaksinasi Covid 19,  sasaran pelajar SDN 1 Dermasuci Kec. Pangkah

Hasil 21 anak tervaksin, dengan rincian :
》Dosis 1 : 8 anak
》Dosis 2 : 13 anak
》Dosis 3 :-

@palangmerah
@PMIJawaTengah
@sarwapramana 
@umiazizah60 
#pmi #pmiselalubantu https://t.co/zg0DrawZaH",kab tegal jateng i rabu giat vaksinasi covid sasar ajar sdn dermasuci kec pangkah hasil anak vaksin rincian dosis anak dosis anak dosis pmi pmiselalubantu,1
10203,2022-08-24 02:58:29+00:00,PositifSultra,"Cegah Covid-19 Dan Capai Herd Immunity Polres Batu Gelar Vaksinasi
Nusantara Simbol Persatuan

[Lengkap Baca Disini]
https://t.co/LxwW5WmDs7",cegah covid capai herd immunity polres batu gelar vaksinasi nusantara simbol satu lengkap baca,2
6801,2022-08-02 02:28:05+00:00,titiktitikblank,"RT @hariankompas: Angka kasus positif Covid-19 di Indonesia di atas ambang batas WHO, yakni mencapai 6,07 persen. Kewaspadaan perlu ditingk…",angka positif covid indonesia ambang batas who capai persen waspada ditingk,1
10190,2022-08-24 03:31:32+00:00,aldhopriskap,"Tak Mau Lenggah, Polres Batu Tetap Gencarkan Vaksinasi Covid-19  | Nusantara Simbol Persatuan | #RiauDamai https://t.co/7VmNmvkFTR",lenggah polres batu gencar vaksinasi covid nusantara simbol satu riaudamai,2
10878,2022-08-21 08:44:34+00:00,beritacovid,"#Prioritaskan BIAN, Dinkes Tulungagung Tunda Vaksinasi Covid-19 Dosis 4 untuk Nakes - https://t.co/8WQtdZVUt0 - https://t.co/8WQtdZVUt0 #Covid #Covid19 https://t.co/TnalcXUrqC",prioritas bian dinkes tulungagung tunda vaksinasi covid dosis nakes covid covid,1
6929,2022-08-01 07:16:46+00:00,DinkesGtloProv,"Assalamu'alaikum, #SahabatSehat...

Vaksinasi Covid-19 Booster Dosis Kedua Bagi Nakes Dimulai Dari Kabupaten Gorontalo 

https://t.co/z5bOKjeQLy",assalamu alaikum sahabatsehat vaksinasi covid booster dosis nakes kabupaten gorontalo,1
10794,2022-08-22 02:45:00+00:00,HMurdita,"Potret Polri dalam menggelar vaksinasi Covid-19 bagi masyarakat umum

#WujudkanPemulihanEkonomi
Kawal Investasi Nasional https://t.co/OzFcGEzvSw",potret polri gelar vaksinasi covid masyarakat wujudkanpemulihanekonomi kawal investasi nasional,1
6287,2022-08-04 04:00:00+00:00,jusmanggamanis,"Teknologi subunit protein ini telah membuat vaksinasi covid 19 bumn
#VaksinKaryaIndonesia https://t.co/9OriImvqYQ",teknologi subunit protein vaksinasi covid bumn vaksinkaryaindonesia,1
2405,2022-08-19 00:38:36+00:00,bankbsi_id,@fitrajatmiko_ 14:00 (Daerah dengan level PPKM 2-3) Jam layanan operasional Kantor Cabang Bank Syariah Indonesia dapat berubah sesuai ketentuan level PPKM daerah yang ditentukan oleh Inmendagri ya Kak. Terima kasih - Siska,daerah level ppkm jam layan operasional kantor cabang bank syariah indonesia ubah sesuai tentu level ppkm daerah tentu inmendagri kak terima kasih siska,1
1498,2022-08-02 15:55:37+00:00,InforiauCo,"#BeritaTerkini Mulai Hari Ini hingga Awal September, Status PPKM Pekanbaru Tetap Level 1 https://t.co/IcRLS3Bgdj #news #inforiau #infoterkini #riauinfo",beritaterkini september status ppkm pekanbaru level news inforiau infoterkini riauinfo,1
3445,2022-08-12 07:23:35+00:00,erixgbaztiaan,"Dukung Booster kedua Nakes.
IDI : Tetap Taat Prokes
#EndemiCovid
#IndonesiaSehatIndonesiaHebat
#BeritaCovid
#PPKM https://t.co/gg7ZhFHTub",dukung booster nakes idi taat prokes endemicovid indonesiasehatindonesiahebat beritacovid ppkm,2
7066,2022-08-01 02:29:32+00:00,jeruklegi2022,"Lindungi Si Kecil Dengan Vaksinasi

Kehadiran personel Polwan RI mendampingi dan menenangkan seorang anak yang sedang vaksinasi Covid-19.

#PerkuatJagaImunitas
Disiplin Protokol Kesehatan
🇮🇩 https://t.co/8VBj35X4xO",lindung vaksinasi hadir personel polwan ri damping tenang anak vaksinasi covid perkuatjagaimunitas disiplin protokol sehat ,2
10895,2022-08-21 04:34:15+00:00,nabilaprcl,Warga RI Terima Vaksinasi COVID-19 Dosis Booster Tambah 25.818 | Nusantara Jatidiri Bangsa #RiauDamai https://t.co/XIxX8OOmkC,warga ri terima vaksinasi covid dosis booster nusantara jatidiri bangsa riaudamai,1
2835,2022-08-16 03:34:38+00:00,dpnghyun,"@kkazuha_ lagian kmu sih, masih pagi nanya tmi. org baru bangun, jd msh ppkm. planga plongo kayak merpati",kamu pagi nanya tmi org bangun msh ppkm planga plongo kayak merpati,1
2733,2022-08-16 12:09:03+00:00,kaerinea,@arindosiar kegiatan full ppkm kakk,giat full ppkm kakk,1
2561,2022-08-17 14:46:19+00:00,06Gondang,"telah dilaksanakan Giat  patroli gabungan dalam rangka  Pelaksanaan *PPKM LEVEL 1* membatasi Mobilitas Perpindahan Masyarakat, bertempat di wilayah kecamatan Sumberlawang. https://t.co/5ESByfyTKz",laksana giat patroli gabung rangka laksana ppkm level batas mobilitas pindah masyarakat tempat wilayah camat sumberlawang,1
5233,2022-08-10 00:00:00+00:00,honeqstt,Vaksinasi Covid-19 berguna untuk kekebalan tubuh sehingga dapat menangkal penyebaran virus covid-19. #OtsusMajukanPapua #PapuaIndonesia #etzjedj https://t.co/Em4bnujZv9,vaksinasi covid guna kebal tubuh tangkal sebar virus covid otsusmajukanpapua papuaindonesia etzjedj,2
8836,2022-08-12 04:12:19+00:00,jawapos,Pemerintah Luncurkan Buku Vaksinasi Covid-19 tentang Kebijakan dan Dinamika https://t.co/B1AR1gKE0q,perintah luncur buku vaksinasi covid bijak dinamika,1
9096,2022-08-11 01:21:09+00:00,mas_prasetiyo,@adit_youtuber @PKSejahtera Yang penting saat ini adalah jangan pilih parpol dan politisi yg mendukung program vaksinasi covid.,pilih parpol politis dukung program vaksinasi covid,0
2744,2022-08-16 11:12:41+00:00,strobekri,@dhiodhi aku blm tau klo nnti dari pemerintah msh ppkm level 3 bakal tetep online 😭,belum nanti perintah msh ppkm level tetap online ,1
7763,2022-08-18 03:56:15+00:00,MasKuma10919014,"@r_amdhann Prokes dan Vaksinasi kunci untuk cegah Covid-19, Indonesia Bangkit Bertumbuh",prokes vaksinasi kunci cegah covid indonesia bangkit tumbuh,2
233,2022-08-09 12:13:28+00:00,yysarchivez,yang pts juga udah pada PPKM kok alias Planga Plongo Kayak Monyet.,pts udah ppkm alias planga plongo kayak monyet,0
5772,2022-08-07 00:40:36+00:00,bumnjktutara3,"Pemerintah Indonesia telah mengizinkan Vaksinasi Covid-19 booster kedua tgl 29 Juli 2022, yg diberikan uyk tenaga kesehatan di gelombang pertama. Keputusan ini diambil di tengah lonjakan kasus infeksi Covid-19 di Ind yang kembali terjadi beberapa waktu belakangan
#VaksinIndonesia https://t.co/MGdjKPPocN",perintah indonesia izin vaksinasi covid booster tanggal juli uyk tenaga sehat gelombang putus ambil lonjak infeksi covid ind vaksinindonesia,1
5945,2022-08-05 22:51:19+00:00,DinkesGtloProv,"Assalamu'alaikum...

#SahabatSehat, Jadwal vaksinasi Covid-19 di wilayah Kota Gorontalo, 06 Agustus 2022.

#AyoPakaiMasker
#AyoCepatVaksin
#GorontaloSehat
#GorontaloHebat
#GorontaloUnggul https://t.co/8V8bYU75TL",assalamu alaikum sahabatsehat jadwal vaksinasi covid wilayah kota gorontalo agustus ayopakaimasker ayocepatvaksin gorontalosehat gorontalohebat gorontalounggul,1
10582,2022-08-22 04:40:08+00:00,rezaaraharjo,"Polri seutuhnya siap mendukung program vaksinasi Covid-19 manfaat mewujudkan penduduk yang sehat, ekonomi kuat dan makin lama produktif",polri utuh dukung program vaksinasi covid manfaat wujud duduk sehat ekonomi kuat produktif,2
10492,2022-08-22 05:32:26+00:00,yeoguanfong,"Polri semuanya siap menunjang program vaksinasi Covid-19 kegunaan mewujudkan penduduk yang sehat, ekonomi kuat dan tambah produktif",polri tunjang program vaksinasi covid guna wujud duduk sehat ekonomi kuat produktif,2
5822,2022-08-06 14:04:12+00:00,PDI_Perjuangan,"Sosialisasi Empat Pilar MPR RI Untuk Cegah Penyebaran Radikalisme dan Demoralisasi Generasi Bangsa

“Selain menggencarkan vaksinasi kesehatan memutus mata rantai penyebaran Covid-19, MPR RI juga menggencarkan vaksinasi ideologi",sosialisasi pilar mpr ri cegah sebar radikalisme demoralisasi generasi bangsa  gencar vaksinasi sehat putus mata rantai sebar covid mpr ri gencar vaksinasi ideologi,1
6161,2022-08-05 00:09:43+00:00,Zeyyana5,"Ayo ikut Vaksinasi! Agar tubuh menghasilkan banyak Imunitas tubuh, agar terhindar dari Covid-19 varian baru Omicron BA.4 dan BA.5 #DOBPeluangEmasPapua #PapuaIndonesia #Papuadamai https://t.co/qgZPgJypJA",ayo vaksinasi tubuh hasil imunitas tubuh hindar covid varian omicron ba ba dobpeluangemaspapua papuaindonesia papuadamai,2
6258,2022-08-04 04:58:08+00:00,kumparan,"Sebelumnya, turis yang akan masuk ke Portugal harus memiliki sertifikat vaksinasi atau tes COVID-19 dengan hasil negatif. #kumparanTRAVEL https://t.co/7UXG1cAU4E",turis masuk portugal milik sertifikat vaksinasi tes covid hasil negatif kumparantravel,1
4441,2022-08-25 05:04:30+00:00,jnake,@Niszimura RIKI 😭😭😭😭 ABIS PPKM ADA BNN,riki  abis ppkm bnn,1
6212,2022-08-04 10:55:09+00:00,PolsekCangkuang,"Aiptu Sugeng Trimo Haryono Ps. Kanit Binmas Polsek Cangkuang Polresta Bandung, Laksanakan Sambang warga Sampaikan Himbauan Prokes dan Vaksinasi Covid-19
...
@humaspoldajbr
@polrestabandung 
@DitBinmasJabar
@Binmassoreang
@Dd_humaspldjbr https://t.co/o66BnzBQY7",aiptu sugeng trimo haryono ps kanit binmas polsek cangkuang polresta bandung laksana sambang warga himbauan prokes vaksinasi covid,2
4937,2022-08-21 18:25:30+00:00,bceaute,JANGANNNNNN GUE GAMAU ADA PPKM PSBB APALAH ITU LAGI,jangannnnnn saya gamau ppkm psbb apa,0
6540,2022-08-03 01:46:40+00:00,PolsekTeluknag4,Antusias Warga melaksanakan Vaksinasi booster di Polsek Teluknaga  untuk meningkatkan imunitas tubuh melawan Covid 19 https://t.co/VJo0DpEGT8,antusias warga laksana vaksinasi booster polsek teluknaga tingkat imunitas tubuh lawan covid,1
9260,2022-08-30 00:57:52+00:00,RWinfinance,"@ShahrazaAfan Jelas ada hubungannya antara 5G dgn Covid (Copet 19) yg menyebarkan Gejala Flu Berat sbg Covid yang diperkuat dgn Chemtrail dari Udara, Vaksinasi dan berbagai Zat2 Kimia Beracun dari Makanan, Minuman, Air Minum, Suplemen, dll dlm Agenda Great Reset dan NWO (World Genosida). https://t.co/HYNUTy5Tra",hubung g covid copet sebar gejala flu berat bagai covid kuat chemtrail udara vaksinasi zat kimia racun makan minum air minum suplemen dll dalam agenda great reset nwo world genosida,0
10650,2022-08-22 03:51:04+00:00,siti10_trg,"Gerai Vaksinasi Presisi merupakan bentuk kepedulian Polri didalam penanganan covid 19 upaya memutus mata rantai penyebaran virus covid 19 agar tercipta keadaan Harkamtibmas yang aman dan kondusif.

#WujudkanPemulihanEkonomi

Kawal Investasi Nasional",gerai vaksinasi presisi bentuk peduli polri dalam tangan covid upaya putus mata rantai sebar virus covid cipta harkamtibmas aman kondusif wujudkanpemulihanekonomi kawal investasi nasional,2
10324,2022-08-23 06:51:37+00:00,lampungpost_,"Warga dengan vaksinasi covid-19 drop out (DO) harus kembali menjalani vaksinasi dosis pertama. Pasalnya, vaksinasi pertama yang telah dilakukan tidak akan tercatat dalam database.  

#Vaksinasi #Beritaterkini #Lampungpost
https://t.co/e2bRPnX32N",warga vaksinasi covid drop out do jalan vaksinasi dosis pasal vaksinasi catat database vaksinasi beritaterkini lampungpost,1
1054,2022-08-04 17:18:47+00:00,KSumberlawang,"Giat patroli gabungan  bersama Polsek Sumberlawang dalam rangka  Pelaksanaan * ASEAN Para Games dan PPKM LEVEL I* membatasi Mobilitas Perpindahan Masyarakat, bertempat di wilayah kecamatan Sumberlawang. https://t.co/cI8yIIzVld",giat patroli gabung polsek sumberlawang rangka laksana asean games ppkm level i batas mobilitas pindah masyarakat tempat wilayah camat sumberlawang,1
1442,2022-08-03 02:07:07+00:00,yeopsangg,@miyeonnt Bangun tidur terus ppkm,bangun tidur ppkm,1
10812,2022-08-22 02:37:26+00:00,Roslindajali,"Polri sepenuhnya siap menopang program vaksinasi Covid-19 guna mewujudkan masyarakat yang sehat, ekonomi kuat dan makin lama produktif

#WujudkanPemulihanEkonomi

Kawal Investasi Nasional",polri sepenuh topang program vaksinasi covid wujud masyarakat sehat ekonomi kuat produktif wujudkanpemulihanekonomi kawal investasi nasional,1
5692,2022-08-07 17:07:34+00:00,Harian_Jogja,Belasan Ribu Nakes DIY Diberi Vaksinasi Covid-19 Dosis Keempat https://t.co/DsrtsiBJd8 #beritajogja #jogja #jogjaistimewa https://t.co/Nei7TF1XqQ,bas ribu nakes diy vaksinasi covid dosis empat beritajogja jogja jogjaistimewa,1
6609,2022-08-02 13:58:52+00:00,BUMNJrSigap,"Halo #SobatBUMN
Kimia Farma Diagnostika berkomitmen utk mendukung Pemulihan Ekonomi Nasional (PEN) melalui percepatan vaksinasi COVID-19 booster/dosis lanjutan di Indonesia.Dlm rangka menyambut HUT kemerdekaan RI,kami brsma perusahaan
#BoosterMerdekaSinopharm
#GebyarVaksinGotong https://t.co/UgSIIp5YHM",halo sobatbumn kimia farma diagnostika komitmen dukung pulih ekonomi nasional cepat vaksinasi covid booster dosis lanjut indonesia dalam rangka sambut hut merdeka ri brsma usaha boostermerdekasinopharm gebyarvaksingotong,2
9872,2022-08-26 02:42:54+00:00,PolsekSoreang1,"#Repost @humaspoldajabar 
——
humaspoldajabar #SrikandiBhayangkaraPeduli menjadi garda terdepan dalam percepatan vaksinasi Covid-19 sebagai upaya penanganan pandemi. Rangkaian HUT Polwan https://t.co/5OifNM1sYY",repost  humaspoldajabar srikandibhayangkarapeduli garda depan cepat vaksinasi covid upaya tangan pandemi rangkai hut polwan,1
4434,2022-08-25 06:10:13+00:00,RasyaMahardika7,"RT @forjakeu: Masa Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Level 1 di Sumatera Selatan.

Pemprov Sumsel pun mengambil sejumlah l…",laku batas giat masyarakat ppkm level sumatera selatan pemprov sumsel ambil l,1
3526,2022-08-11 15:49:46+00:00,Koramil03seren1,"Surakarta, Kamis, 11 Agustus 2022 pukul 21.00 wib Piket Koramil 04 /Jebres Serka Suryanto bersama anggota Linmas melaksanakan patroli Kamtibmas sekaligus terapkan PPKM di wilayah Kec. Jebres. https://t.co/QuMReVOZec",surakarta kamis agustus wib piket koramil jebres serka suryanto anggota linmas laksana patroli kamtibmas terap ppkm wilayah kec jebres,1
9716,2022-08-27 00:49:21+00:00,Presiden_bcd,"RT @chinta_chintata: @Penyair_Berdiri Pentingnya vaksinasi dan Prokes untuk melindungi diri dari Covid 19
#JanganAbaiPerketatProkes
#Biruka…",vaksinasi prokes lindung covid janganabaiperketatprokes biruka,2
8167,2022-08-16 06:00:46+00:00,PolsekMengwi57,"Bhabinkamtibmas Desa Baha Aiptu I Wayan Bodiasa melaksanakan atensi kegiatan Vaksinasi Covid 19 yang diselenggarakan dikantor Desa Baha, Kecamatan Mengwi, Kabupaten Badung. Selasa (16/8) pukul 08.00 wita https://t.co/8DKRztLSgA",bhabinkamtibmas desa baha aiptu i wayan bodiasa laksana atensi giat vaksinasi covid selenggara kantor desa baha camat mengwi kabupaten badung selasa wita,1
8752,2022-08-12 13:25:22+00:00,jawapos,"Vaksinasi dan Tertular Covid-19, Antibodi Masyarakat Naik 4 Kali Lipat https://t.co/5kT76ytXkB",vaksinasi tular covid antibodi masyarakat kali lipat,1
